Question Number,Test Code,Subject,Correct Ans
1,201,Chemistry,2
2,201,Chemistry,4
3,201,Chemistry,1
4,201,Chemistry,4
5,201,Chemistry,4
6,201,Chemistry,1
7,201,Chemistry,1
8,201,Chemistry,2
9,201,Chemistry,1
10,201,Chemistry,4
11,201,Chemistry,3
12,201,Chemistry,4
13,201,Chemistry,3
14,201,Chemistry,1
15,201,Chemistry,2
16,201,Chemistry,3
17,201,Chemistry,3
18,201,Chemistry,1
19,201,Chemistry,1
20,201,Chemistry,2
21,201,Chemistry,2
22,201,Chemistry,2
23,201,Chemistry,1
24,201,Chemistry,1
25,201,Chemistry,2
26,201,Chemistry,2
27,201,Chemistry,2
28,201,Chemistry,4
29,201,Chemistry,3
30,201,Chemistry,2
31,201,Physics,2
32,201,Physics,3
33,201,Physics,3
34,201,Physics,2
35,201,Physics,2
36,201,Physics,1
37,201,Physics,1
38,201,Physics,2
39,201,Physics,3
40,201,Physics,4
41,201,Physics,2
42,201,Physics,3
43,201,Physics,3
44,201,Physics,3
45,201,Physics,2
46,201,Physics,1
47,201,Physics,3
48,201,Physics,1
49,201,Physics,3
50,201,Physics,4
51,201,Physics,4
52,201,Physics,1
53,201,Physics,2
54,201,Physics,3
55,201,Physics,4
56,201,Physics,3
57,201,Physics,2
58,201,Physics,1
59,201,Physics,2
60,201,Physics,1
61,201,Botony,4
62,201,Botony,2
63,201,Botony,2
64,201,Botony,2
65,201,Botony,4
66,201,Botony,3
67,201,Botony,1
68,201,Botony,3
69,201,Botony,4
70,201,Botony,2
71,201,Botony,1
72,201,Botony,1
73,201,Botony,3
74,201,Botony,3
75,201,Botony,2
76,201,Botony,3
77,201,Botony,1
78,201,Botony,2
79,201,Botony,2
80,201,Botony,2
81,201,Botony,2
82,201,Botony,2
83,201,Botony,1
84,201,Botony,4
85,201,Botony,2
86,201,Botony,4
87,201,Botony,1
88,201,Botony,2
89,201,Botony,1
90,201,Botony,1
91,201,Zology,3
92,201,Zology,1
93,201,Zology,4
94,201,Zology,2
95,201,Zology,4
96,201,Zology,2
97,201,Zology,2
98,201,Zology,1
99,201,Zology,4
100,201,Zology,3
101,201,Zology,3
102,201,Zology,1
